"Search Location","Name","Ratings","Best Services","Remarks","Shop Address","Website","Phone"
"Pharr, Texas 78577","Mobile Go Repair Edinburg","5 (771)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Edinburg, TX","N/A","(956) 899-6907"
"Pharr, Texas 78577","uBreakiFix - Phone and Computer Repair","4.9 (418)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","McAllen, TX","N/A","(956) 800-4057"
"Porterville, California 93257","iFixandRepair - Porterville Walmart","4.9 (321)","[Screen Repair, Phone Repair, Glass Replacement]","Fast Service","Porterville, CA","N/A","(661) 637-6774"
"Porterville, California 93257","Fix N Cover Phone Repair","4.9 (458)","[Screen Repair, Battery Replacement, iPhone Repair]","Reliable Service","Visalia, CA","N/A","(559) 723-2979"
"Porterville, California 93257","Glass Doctor of Tulare County","4.9 (386)","[Window Repair, Screen Repair, Glass Replacement]","Highly Reliable","Porterville, CA","N/A","(559) 339-0272"
"Porterville, California 93257","Sierra Appliance Services","4.8 (479)","[Appliance Repair, Parts Sales, Troubleshooting]","Highly Recommended","Porterville, CA","N/A","(559) 594-3691"
"Porterville, California 93257","CellPros - Peach","4.8 (927)","[Screen Repair, Battery Replacement, Phone Restoration]","Fast Service","Fresno, CA","N/A","(559) 640-7414"
"San Diego, California 92154","G-PhixIt Mobile Phone Repair & Device BuyBack LLC","5 (427)","[Screen Repair, Battery Replacement, Device Buyback]","Highly Recommended","N/A","N/A","(619) 710-6261"
"San Diego, California 92154","iFixandRepair - Chula Vista Walmart","5 (443)","[Screen Repair, Phone Repair, Diagnostic Service]","Quick Fix","Chula Vista, CA","N/A","(619) 974-6229"
"San Diego, California 92154","SD CELL PHONE","5 (316)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","San Diego, CA","N/A","(858) 257-9000"
"San Diego, California 92154","Big Time Phone Repair | San Diego | Lemon Grove","4.9 (660)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Lemon Grove, CA","N/A","(619) 627-6698"
"San Diego, California 92154","Phone Zone Wireless","4.9 (754)","[Screen Repair, Battery Replacement, iPhone Repairs]","Fast Service","El Cajon, CA","N/A","(619) 440-9663"
"Murrieta, California 92563","Phone Techs","5 (309)","[Screen Repair, Battery Replacement, Phone Restoration]","Quality Repairs","Murrieta, CA","N/A","(951) 926-1531"
"Murrieta, California 92563","Techy Murrieta CA (Inside Walmart)","5 (308)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Fix","Murrieta, CA","N/A","(951) 740-9084"
"Murrieta, California 92563","WOW Wireless Cell Phone iPhone Tablet iWatch Repair","4.9 (492)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Menifee, CA","N/A","(951) 215-6721"
"Murrieta, California 92563","uBreakiFix - Phone and Computer Repair","4.7 (824)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Temecula, CA","N/A","(951) 587-0950"
"Murrieta, California 92563","Express Cellphone Repair","4.6 (303)","[Screen Repair, Phone Repair, Device Restoration]","Quality Repairs","Murrieta, CA","N/A","(951) 800-8100"
"Parker, Colorado 80134","iFixandRepair - Parker Walmart","4.9 (1100)","[Screen Repair, Battery Replacement, Phone Repair]","Fast Service","Parker, CO","N/A","(720) 234-0519"
"Parker, Colorado 80134","A+ Computer Mac Pc Phone Repair Buy Sell","4.9 (522)","[iPhone Repair, Screen Repair, Fast Repair]","Fast Service","Parker, CO","N/A","(720) 712-1093"
"Parker, Colorado 80134","Mr. Appliance of Parker","4.9 (1100)","[Refrigerator Repair, Washer Repair, Dryer Repair]","Reliable Service","Parker, CO","N/A","(303) 816-3802"
"Parker, Colorado 80134","uBreakiFix - Phone and Computer Repair","4.7 (624)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast Service","Parker, CO","N/A","(303) 805-5598"
"Parker, Colorado 80134","Elite iPhone Repair","4.4 (451)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Denver, CO","N/A","(303) 322-3416"
"Fort Worth, Texas 76179","D2 Wireless","5 (1300)","[Screen Repair, iPhone Repair, Fast Repair]","Quality Service","Fort Worth, TX","N/A","(817) 420-3379"
"Fort Worth, Texas 76179","The Fix - Phone Repair, Tablet Repair and Accessories inside Walmart Fort Worth","4.9 (867)","[Screen Repair, Battery Replacement, Water Damage]","Quick Fixes","Fort Worth, TX","N/A","(817) 750-7599"
"Fort Worth, Texas 76179","Northside Phone Repair || Unlocked Phones, Ride On Toys, Speakers, Accessories & More || Buy-Sell-Trade","4.9 (391)","[Screen Repair, Battery Replacement, Phone Unlocking]","Quick Turnaround","Fort Worth, TX","N/A","(682) 221-4973"
"Fort Worth, Texas 76179","Slick Phone Repair","4.9 (350)","[Charging Port Repair, Screen Repair, Battery Replacement]","Highly Skilled","Euless, TX","N/A","(817) 494-3668"
"Fort Worth, Texas 76179","CPR Cell Phone Repair","4.8 (386)","[Screen Repair, Battery Replacement, Diagnostic Service]","Reliable Repairs","Fort Worth, TX","N/A","(817) 502-9938"
"Temecula, California 92592","Phone Techs","5 (309)","[Screen Repair, Battery Replacement, Phone Restoration]","Quality Repairs","Murrieta, CA","N/A","(951) 926-1531"
"Temecula, California 92592","Techy Murrieta CA (Inside Walmart)","5 (308)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Murrieta, CA","N/A","(951) 740-9084"
"Temecula, California 92592","ZAGG Temecula","4.9 (1800)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Temecula, CA","N/A","(951) 805-3610"
"Temecula, California 92592","WOW Wireless Cell Phone iPhone Tablet iWatch Repair","4.9 (492)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Menifee, CA","N/A","(951) 215-6721"
"Temecula, California 92592","CRACKED SCREENS iPHONE & SAMSUNG Repair CENTER","4.9 (1200)","[Screen Repair, iPhone Repair, Samsung Repair]","Fast Service","Corona, CA","N/A","(951) 227-9991"
"Tulare, California 93274","Fix N Cover Phone Repair","4.9 (458)","[Screen Repair, Battery Replacement, iPhone Repair]","Reliable Service","Visalia, CA","N/A","(559) 723-2979"
"Tulare, California 93274","uBreakiFix - Phone and Computer Repair","4.6 (899)","[Screen Repair, Battery Replacement, Water Damage Repair]","Reliable Repairs","Visalia, CA","N/A","(559) 429-4994"
"Atlanta, Georgia 30349","Iconic Phone Repairs IPHONE,SAMSUNG,PS4,PS5,XBOX,NINTENDO,COMPUTER ,CELLPHONE REPAIR","5 (440)","[Screen Repair, Battery Replacement, Console Repair]","Fast Service","Atlanta, GA","N/A","(470) 334-0189"
"Atlanta, Georgia 30349","Techy College park","5 (719)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","College Park, GA","N/A","(762) 340-0096"
"Atlanta, Georgia 30349","TPK Wireless - Camp Creek","4.9 (3000)","[Screen Repair, Phone Repair, Diagnostic Service]","Fast Service","East Point, GA","N/A","(404) 786-9187"
"Atlanta, Georgia 30349","iMobile CPR Cell Phone Repair Atlanta GA","4.9 (651)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Atlanta, GA","N/A","(470) 830-0810"
"Atlanta, Georgia 30349","ScreenFixing - Phone, Tablet, Computer, Game Console HDMI Repair","4.9 (1500)","[Screen Repair, HDMI Repair, Console Repair]","Fast Service","Atlanta, GA","N/A","(404) 969-6349"
"Loganville, Georgia 30052","Cellairis Phone Repair Store Inside Walmart In Loganville","5 (4500)","[Charging Port Repair, Screen Repair, Battery Replacement]","Quick Repairs","Loganville, GA","N/A","(404) 668-9117"
"Loganville, Georgia 30052","Techmazing Heating and Cooling","5 (1000)","[HVAC Repair, AC Installation, Furnace Service]","Trustworthy Service","Loganville, GA","N/A","(678) 210-9616"
"Loganville, Georgia 30052","PhoneWorld Cell Phone Repair & Unlock","4.9 (656)","[Screen Repair, iPhone Repair, Phone Unlock]","Fast Service","Tucker, GA","N/A","(678) 650-8096"
"Loganville, Georgia 30052","iFixScreens Loganville","4.5 (339)","[Screen Repair, Phone Repair, Quick Fixes]","Fast Service","Loganville, GA","N/A","(470) 299-8913"
"Loganville, Georgia 30052","uBreakiFix - Phone and Computer Repair","4.5 (984)","[Screen Repair, Phone Repair, Device Diagnostics]","Fast Service","Atlanta, GA","N/A","(404) 812-0655"
"Brooklyn, New York 11204","Fast Fix Mobile inc.","4.9 (348)","[Screen Repair, Battery Replacement, Phone Repair]","Fast Service","Brooklyn, NY","N/A","(718) 207-1935"
"Brooklyn, New York 11204","MD Wireless - Fix Phone Repair Shop","4.8 (319)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(718) 975-1950"
"Brooklyn, New York 11204","uBreakiFix - Phone and Computer Repair","4.8 (826)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Brooklyn, NY","N/A","(929) 998-0200"
"Brooklyn, New York 11204","Repairs Bay","4.7 (405)","[Screen Repair, Battery Replacement, Glass Repair]","Premium Quality","Brooklyn, NY","N/A","(718) 650-5757"
"Brooklyn, New York 11204","uBreakiFix - Phone and Computer Repair","4.7 (2500)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(929) 324-0277"
"Charlotte, North Carolina 28269","uBreakiFix - Phone and Computer Repair","5 (16000)","[Screen Repair, Battery Replacement, Mobile Repair]","Convenient Service","Charlotte, NC","N/A","(704) 844-0706"
"Charlotte, North Carolina 28269","Perfect Screen","5 (967)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Charlotte, NC","N/A","(980) 867-3215"
"Charlotte, North Carolina 28269","Charlotte PhoneShop | Game Consoles, Computers & More","4.9 (1400)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Charlotte, NC","N/A","(567) 908-2959"
"Charlotte, North Carolina 28269","CPR Cell Phone Repair","4.9 (577)","[Screen Repair, Battery Replacement, Water Damage]","Trustworthy Service","Indian Trail, NC","N/A","(704) 254-1625"
"Charlotte, North Carolina 28269","SmartFix Appliance Repair","4.9 (967)","[Refrigerator Repair, Washer Repair, Dryer Repair]","Reliable Service","Charlotte, NC","N/A","(980) 340-6431"
"Bronx, New York 10457","Izzy's IRepair","4.8 (467)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Bronx, NY","N/A","(718) 708-5588"
"Bronx, New York 10457","Computer Settings, Inc - Electronics Repair Center and Security Cameras Installers.","4.8 (609)","[Battery Replacement, Mobile Phone Repair, Security Camera Installation]","Reliable Service","Bronx, NY","N/A","(718) 584-2600"
"Humble, Texas 77346","The Fix - Tech Repair in Walmart Humble","5 (470)","[Screen Repair, Battery Replacement, Quick Repair]","Fast Service","Humble, TX","N/A","(832) 768-7113"
"Humble, Texas 77346","Phone Fix-Repairs and Sell Accessories","5 (331)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Porter, TX","N/A","(409) 433-6000"
"Humble, Texas 77346","RB mobile repair phone repair & computer tablet","4.9 (654)","[Screen Repair, iPhone Repair, Tablet Repair]","Fast Service","Humble, TX","N/A","(713) 478-4619"
"Humble, Texas 77346","CPR Cell Phone Repair","4.9 (300)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Humble, TX","N/A","(281) 818-1580"
"Humble, Texas 77346","The Fix - Phone Repair, Tablet Repair and Accessories in Humble Walmart","4.9 (346)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Humble, TX","N/A","(832) 892-6374"
"Folsom, California 95630","Express Mobile Repair (Phones - Computers - Tablets & More)","5 (474)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Folsom, CA","N/A","(916) 705-9191"
"Folsom, California 95630","iParts and Phone","4.8 (574)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Folsom, CA","N/A","(916) 579-6408"
"Folsom, California 95630","Cellairis – Phone Repair & Accessories (Galleria Mall)","4.8 (444)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Roseville, CA","N/A","(916) 781-0868"
"Folsom, California 95630","Nerds On Call Computer Repair","4.8 (376)","[Screen Repair, Battery Replacement, Fast Diagnostics]","Fast Service","Fair Oaks, CA","N/A","(800) 919-6373"
"Folsom, California 95630","Pro Device Repair","4.7 (495)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Rancho Cordova, CA","N/A","(916) 841-7454"
"Lancaster, California 93535","V Fix Phone Ipad Repair - Valencia, Ca","5 (797)","[Screen Repair, Battery Replacement, Phone Restoration]","Trustworthy Service","Santa Clarita, CA","N/A","(661) 513-7281"
"Lancaster, California 93535","Fone Tech - Lancaster","4.9 (822)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Lancaster, United Kingdom","N/A","+44 1524 382344"
"Lancaster, California 93535","The Fix in Westfield Culver City","4.9 (962)","[Back Glass Repair, iPhone Repair, Mobile Phone Repair]","Gentle Repair","Culver City, CA","N/A","(424) 508-3621"
"Lancaster, California 93535","iFixandRepair - Lancaster Walmart","4.7 (412)","[Screen Repair, Cracked Glass, Quick Fix]","Fast Service","Lancaster, CA","N/A","(559) 614-5459"
"Lancaster, California 93535","AV Retro Games & Electronic Repairs","4.4 (384)","[Screen Repair, Battery Replacement, Diagnostic Service]","Trustworthy Repairs","Lancaster, CA","N/A","(661) 974-1219"
"San Francisco, California 94112","We drive 2 U iPhone Android & iPad repair / AKA On The Spot","5 (745)","[Screen Repair, Battery Replacement, iPad Repair]","Quick Fixes","San Francisco, CA","N/A","(415) 887-8426"
"San Francisco, California 94112","iPhone Repairing","4.9 (789)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Daly City, CA","N/A","(415) 439-3436"
"San Francisco, California 94112","PLATINUM WIRELESS & REPAIR","4.8 (477)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","San Francisco, CA","N/A","(415) 337-8559"
"San Francisco, California 94112","Compupod","4.8 (1300)","[Screen Repair, Phone Repair, Diagnostic Service]","Fast Service","San Francisco, CA","N/A","(415) 523-7696"
"San Francisco, California 94112","iTECH N TALK Cell Phone Repair : Lyca Mobile • Gen Mobile • Ultra Mobile • AT&T Verizon T-Mobile Prepaid • iPhone Unlock","4.8 (656)","[Charge Port Repair, iPhone Unlock, Prepaid Plans]","Fast Service","Fremont, CA","N/A","(510) 396-0505"
"Murfreesboro, Tennessee 37128","iFix Wireless-Murfreesboro, TN","5 (307)","[Screen Repair, iPhone Repair, Cell Phone Repair]","Fast Service","Murfreesboro, TN","N/A","(615) 845-8113"
"Murfreesboro, Tennessee 37128","SD CellPlus","5 (446)","[Back Glass Repair, iPhone Repair, Fast Repair]","Fast Service","Murfreesboro, TN","N/A","(615) 473-1220"
"Murfreesboro, Tennessee 37128","twireless","5 (380)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Nashville, TN","N/A","(615) 609-3975"
"Murfreesboro, Tennessee 37128","CPR Cell Phone Repair","4.9 (1200)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Murfreesboro, TN","N/A","(615) 881-8888"
"Murfreesboro, Tennessee 37128","iGeek","4.9 (417)","[Screen Repair, Phone Repair, Device Diagnostics]","Friendly Service","Murfreesboro, TN","N/A","(615) 956-6856"
"Olathe, Kansas 66062","The Fix - Walmart Olathe","5 (629)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Olathe, KS","N/A","(913) 285-1097"
"Olathe, Kansas 66062","iFix Olathe","5 (357)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Olathe, KS","N/A","(785) 764-4402"
"Olathe, Kansas 66062","The Fix - Walmart Olathe","5 (361)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast Service","Olathe, KS","N/A","(913) 285-1303"
"Olathe, Kansas 66062","iResQ","4.9 (612)","[Screen Repair, Battery Replacement, Water Damage]","Highly Recommended","Olathe, KS","N/A","(888) 447-3728"
"Olathe, Kansas 66062","CPR Cell Phone Repair","4.8 (303)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Olathe, KS","N/A","(913) 286-5187"
"El Paso, Texas 79912","Talk N Fix Mesa (inside Walmart)","5 (667)","[Battery Replacement, iPhone Repair, Phone Repair]","Quick Fix","El Paso, TX","N/A","(915) 247-9050"
"El Paso, Texas 79912","Smartphone Solutions - Phone Repair El Paso","4.9 (1000)","[Screen Repair, Battery Replacement, Phone Refurbishing]","Fast Turnaround","El Paso, TX","N/A","(915) 219-8440"
"El Paso, Texas 79912","Talk N' Fix - N Zaragoza Rd ( Inside Walmart)","4.9 (1300)","[Battery Replacement, Screen Repair, iPhone Repair]","Quick Fixes","El Paso, TX","N/A","(945) 544-7337"
"El Paso, Texas 79912","CPR Cell Phone Repair","4.8 (432)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","El Paso, TX","N/A","(915) 221-2075"
"El Paso, Texas 79912","Tech Surgeons - Buy/Sell/Repair","4.7 (675)","[Back Glass Repair, iPhone Repair, Mobile Phone Repair]","Fast Service","El Paso, TX","N/A","(915) 727-5028"
"Milpitas, California 95035","The Fix - Phone Repair, Tablet Repair & Accessories in Great Mall","4.9 (365)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Milpitas, CA","N/A","(408) 595-0579"
"Milpitas, California 95035","iTECH N TALK Cell Phone Repair : Lyca Mobile • Gen Mobile • Ultra Mobile • AT&T Verizon T-Mobile Prepaid • iPhone Unlock","4.8 (656)","[Charge Port Repair, iPhone Unlock, Prepaid Plans]","Fast Service","Fremont, CA","N/A","(510) 396-0505"
"Milpitas, California 95035","PHONEHUT - Cell Phone Repair Sanjose","4.6 (385)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","San Jose, CA","N/A","(408) 899-9521"
"Milpitas, California 95035","Talk N' Fix - Phone Repair, Samsung and Laptop Repair","4.5 (335)","[Screen Repair, Samsung Repair, Laptop Repair]","Good Value","Milpitas, CA","N/A","(925) 789-8303"
"Milpitas, California 95035","Best Buy","4.2 (4200)","[iPhone Repair, Tech Support, Product Consultation]","Helpful Staff","Milpitas, CA","N/A","(408) 942-0201"
"Fairfield, California 94533","The Tech Team - Cell Phone, Computer & Tech Repair (Buy/Sell New and Used Phones)","4.9 (587)","[Screen Repair, Phone Sales, Computer Repair]","Fast Service","Fairfield, CT","N/A","(203) 612-6189"
"Fairfield, California 94533","iParts and Phone","4.8 (348)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Vacaville, CA","N/A","(707) 949-0763"
"Fairfield, California 94533","RepairALL","4.8 (1000)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Vacaville, CA","N/A","(707) 440-2333"
"Fairfield, California 94533","uBreakiFix - Phone and Computer Repair","4.3 (628)","[Screen Repair, Phone Repair, Cracked Glass]","Quick Fix","Fairfield, OH","N/A","(513) 860-1306"
"Chino, California 91710","Speed Repair","5 (860)","[Water Damage, Screen Repair, Battery Replacement]","Fast Service","Montclair, CA","N/A","(909) 786-5124"
"Chino, California 91710","Tech Genius Repairs","5 (555)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Montclair, CA","N/A","(909) 330-6363"
"Chino, California 91710","uBreakiFix - Phone and Computer Repair","4.8 (441)","[Screen Repair, Battery Replacement, Water Damage]","Reliable Repairs","Chino, CA","N/A","(909) 315-6440"
"Chino, California 91710","The Fix - Phone Repair, Tablet Repair and Accessories","4.7 (860)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Montclair, CA","N/A","(909) 751-7181"
"Chino, California 91710","uBreakiFix - Phone and Computer Repair","4.6 (601)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Montclair, CA","N/A","(909) 680-4010"
"Oxnard, California 93033","iProtech - Phone, Laptop, Game Console Repair","4.9 (728)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Ventura, CA","N/A","(805) 826-7505"
"Oxnard, California 93033","iPhone Screen Repair iPad Screen Repair & Computer Repair","4.9 (897)","[iPhone Screen Repair, iPad Screen Repair, Computer Repair]","Fast Service","Santa Monica, CA","N/A","(310) 980-9862"
"Oxnard, California 93033","uBreakiFix - Phone and Computer Repair","4.8 (997)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Oxnard, CA","N/A","(805) 988-5808"
"Oxnard, California 93033","Creative Cell Shop - iPhone & Cell Phone Repair | Computer, Laptop, MacBook & Game Console Repair","4.6 (341)","[iPhone Repair, Water Damage, Computer Repair]","Trustworthy Repairs","Oxnard, CA","N/A","(805) 253-0147"
"Brooklyn, New York 11235","CPR Cell Phone Repair","5 (864)","[Screen Repair, Warranty Repair, Battery Replacement]","Fast Service","Brooklyn, NY","N/A","(917) 677-2880"
"Brooklyn, New York 11235","Uwire Phone & Computer Repair","4.9 (366)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(347) 530-5454"
"Brooklyn, New York 11235","uBreakiFix - Phone and Computer Repair","4.8 (826)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(929) 998-0200"
"Brooklyn, New York 11235","Wireless Deal Phone Repair","4.7 (510)","[Charging Port Repair, Screen Repair, Battery Replacement]","Fast Service","Brooklyn, NY","N/A","(718) 769-4040"
"Brooklyn, New York 11235","uBreakiFix - Phone and Computer Repair","4.7 (2500)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(929) 324-0277"
"Brooklyn, New York 11229","CPR Cell Phone Repair","5 (588)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Brooklyn, NY","N/A","(914) 350-2118"
"Brooklyn, New York 11229","Uwire Phone & Computer Repair","4.9 (366)","[Screen Repair, Battery Replacement, Quick Diagnostics]","Fast Service","Brooklyn, NY","N/A","(347) 530-5454"
"Brooklyn, New York 11229","Fix.ME","4.8 (315)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Brooklyn, NY","N/A","(347) 277-2633"
"Brooklyn, New York 11229","Good Zone Service & Repairs","4.8 (701)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Turnaround","Brooklyn, NY","N/A","(347) 492-4181"
"Brooklyn, New York 11229","MD Wireless - Fix Phone Repair Shop","4.8 (319)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(718) 975-1950"
"Brooklyn, New York 11223","CPR Cell Phone Repair","5 (864)","[Screen Repair, Warranty Repair, Battery Replacement]","Fast Service","Brooklyn, NY","N/A","(917) 677-2880"
"Brooklyn, New York 11223","Uwire Phone & Computer Repair","4.9 (366)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(347) 530-5454"
"Brooklyn, New York 11223","Fix.ME","4.8 (315)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Brooklyn, NY","N/A","(347) 277-2633"
"Brooklyn, New York 11223","MD Wireless - Fix Phone Repair Shop","4.8 (319)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(718) 975-1950"
"Brooklyn, New York 11223","Good Zone Service & Repairs","4.8 (701)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Turnaround","Brooklyn, NY","N/A","(347) 492-4181"
"Mission, Texas 78572","CPR Cell Phone Repair","4.9 (1400)","[Screen Repair, Battery Replacement, Glass Repair]","Fast Turnaround","Mission, TX","N/A","(956) 271-8717"
"Mission, Texas 78572","iFix Repair Center","4.9 (378)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Mission, TX","N/A","(956) 445-3744"
"Mission, Texas 78572","1A Soft & Hard Computers & TV Repair","4.9 (327)","[Screen Repair, Data Recovery, Hardware Repair]","Fast Turnaround","N/A","N/A","(956) 581-4798"
"Mission, Texas 78572","iRestore Cracked Screen Help","4.9 (402)","[Screen Repair, Charging Port Repair, Battery Replacement]","Fast Service","Weslaco, TX","N/A","(956) 472-1985"
"Mission, Texas 78572","Smartphone Medic","4.6 (452)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast Service","McAllen, TX","N/A","(956) 630-0889"
"Chino Hills, California 91709","Plug Phone Fix","4.9 (308)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","West Covina, CA","N/A","(626) 922-2877"
"Chino Hills, California 91709","uBreakiFix - Phone and Computer Repair","4.8 (441)","[Screen Repair, Battery Replacement, Water Damage]","Reliable Repairs","Chino, CA","N/A","(909) 315-6440"
"Chino Hills, California 91709","uBreakiFix - Phone and Computer Repair","4.6 (601)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Montclair, CA","N/A","(909) 680-4010"
"San Antonio, Texas 78254","The Fix - Phone Repair, Tablet Repair and Accessories in San Antonio Walmart","5 (717)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","San Antonio, TX","N/A","(210) 847-2767"
"San Antonio, Texas 78254","Cell Center","5 (833)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","San Antonio, TX","N/A","(210) 748-3387"
"San Antonio, Texas 78254","CELLAIRIS | #1 Quality Phone Repair In San Antonio.","5 (1500)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","San Antonio, TX","N/A","(210) 573-7919"
"San Antonio, Texas 78254","Phone Fixers","4.9 (1500)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","San Antonio, TX","N/A","(210) 272-0471"
"San Antonio, Texas 78254","The Fix - Phone Repair, Tablet Repair and Accessories in Walmart San Antonio","4.9 (1100)","[Screen Repair, Battery Replacement, Phone Fixing]","Best Value","San Antonio, TX","N/A","(210) 518-5569"
"Cumming, Georgia 30041","TECHY Cumming - Inside Walmart (iPhone, iPad & Android Repair)","5 (474)","[Screen Repair, Water Damage, Battery Replacement]","Fast Service","Cumming, GA","N/A","(470) 380-6686"
"Cumming, Georgia 30041","iFixandRepair - Cumming Walmart","4.9 (1300)","[Screen Repair, Battery Replacement, Phone Refurbishing]","Fast Service","Cumming, GA","N/A","(470) 930-2244"
"Cumming, Georgia 30041","Cellairis (#1 Certified Phone Repairs in Walmart Cumming ) iPhone, IPad, Tablets, Laptops, PC and Gaming Consoles","4.9 (3100)","[Screen Repair, Battery Replacement, Cracked Phone Repair]","Reliable Repairs","Cumming, GA","N/A","(678) 217-2156"
"Cumming, Georgia 30041","Techy Alpharetta - Inside Walmart - Buy/Repair/Sell","4.9 (952)","[Screen Repair, Battery Replacement, Phone Buyback]","Fast Service","Alpharetta, GA","N/A","(770) 282-8818"
"Cumming, Georgia 30041","uBreakiFix - Phone and Computer Repair","4.7 (887)","[Screen Repair, Phone Repair, Schedule Flexibility]","Reliable Service","Cumming, GA","N/A","(678) 341-9965"
"Kyle, Texas 78640","Phone Repair Pro Mansfield texas","4.8 (897)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Mansfield, TX","N/A","(817) 810-0786"
"New York, New York 10029","JC Wireless Center","4.9 (323)","[Screen Repair, Phone Repair, Battery Replacement]","Fast Service","New York, NY","N/A","(646) 318-6534"
"New York, New York 10029","uBreakiFix - Phone and Computer Repair","4.9 (900)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","New York, NY","N/A","(212) 495-9288"
"New York, New York 10029","repair star one wireless","4.8 (311)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","New York, NY","N/A","(646) 448-4142"
"New York, New York 10029","iPhone Repair NYC","4.8 (652)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","New York, NY","N/A","(646) 698-2228"
"New York, New York 10029","uBreakiFix - Phone and Computer Repair","4.7 (1800)","[Screen Repair, Battery Replacement, Laptop Repair]","Fast Service","New York, NY","N/A","(212) 903-4349"
"North Las Vegas, Nevada 89031","The Fix - Phone Repair, Tablet Repair and Accessories in Walmart Las Vegas","5 (371)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","North Las Vegas, NV","N/A","(702) 969-9324"
